cpt_code,description,facility_rate
0446T,Insj impltbl glucose sensor,49.00855
0447T,Rmvl impltbl glucose sensor,56.729075
0448T,Remvl insj impltbl gluc sens,82.57605000000001
0509T,Pattern erg w/i&r,78.212275
0583T,Tmpst auto tube dlvr sys,126.2138
0596T,Temp fml iu vlv-pmp 1st insj,112.11545000000001
0597T,Temp fml iu valve-pmp rplcmt,53.708000000000006
0605T,Rem oct rta techl sprt min 8,762.3179250000001
10004,Fna bx w/o img gdn ea addl,36.92425000000001
10005,Fna bx w/us gdn 1st les,62.77122500000001
10006,Fna bx w/us gdn ea addl,43.302075
10007,Fna bx w/fluor gdn 1st les,80.562
10008,Fna bx w/fluor gdn ea addl,47.330175000000004
10009,Fna bx w/ct gdn 1st les,93.65332500000001
10010,Fna bx w/ct gdn ea addl,66.127975
10021,Fna bx w/o img gdn 1st les,46.32315
10030,Img gid flu coll drg sft tis,118.82895
10035,Plmt sft tiss loclzj dev 1st,71.498775
10036,Plmt sft tiss loclzj dev ea,36.92425000000001
10040,Extraction,42.630725000000005
10060,I&d abscess simple/single,101.038175
10061,I&d abscess comp/multiple,174.21532500000004
10080,I&d pilonidal cyst simple,105.73762500000001
10081,I&d pilonidal cyst comp,169.515875
10120,Inc&rmvl fb subq tiss smpl,102.71655000000001
10121,Inc&rmvl fb subq tiss comp,172.53695
10140,I&d hmtma seroma/fluid collj,116.14355
10160,Pnxr aspir absc hmtma bulla,91.97495000000002
10180,I&d complex po wound infctj,176.56505
11000,Dbrdmt ecz/infected skin<10%,24.504275
11001,Dbrdmt ecz/infct skn ea addl,12.755650000000001
11004,Dbrdmt skin xtrnl gent&per,507.204925
11005,Dbrdmt skin abdominal wall,696.18995
11006,Dbrdmt skin xtrnl gent per,627.0409000000001
11008,Rmv prstc mtrl/mesh abd wall,245.71410000000003
11010,Debride skin at fx site,250.74922500000002
11011,Debride skin musc at fx site,266.190275
11012,Deb skin bone at fx site,364.207375
11042,Dbrdmt subq tis 1st 20sqcm/<,56.057725000000005
11043,Dbrdmt musc&/fsca 1st 20/<,138.96945
11044,Dbrdmt bone 1st 20 sq cm/<,202.07635
11045,Dbrdmt subq tiss each addl,22.154550000000004
11046,Dbrdmt musc&/fsca ea addl,48.001525
11047,Dbrdmt bone each addl,85.597125
11055,Paring/cutg b9 hyprker les 1,13.762675
11056,Parng/cutg b9 hyprkr les 2-4,19.804825
11057,Parng/cutg b9 hyprkr les >4,25.511300000000002
11102,Tangntl bx skin single les,30.210750000000004
11103,Tangntl bx skin ea sep/addl,17.790775000000004
11104,Punch bx skin single lesion,38.26695
11105,Punch bx skin ea sep/addl,21.483200000000004
11106,Incal bx skn single les,46.658825
11107,Incal bx skn ea sep/addl,25.175625000000004
11200,Rmvl skin tags up to&inc 15,69.484725
11201,Rmvl skin tags ea addl 10,13.091325000000001
11300,Shave skin lesion 0.5 cm/<,27.861025
11301,Shave skin lesion 0.6-1.0 cm,41.959375
11302,Shave skin lesion 1.1-2.0 cm,48.672875000000005
11303,Shave skin lesion >2.0 cm,58.071775
11305,Shave skin lesion 0.5 cm/<,32.89615
11306,Shave skin lesion 0.6-1.0 cm,40.95235
11307,Shave skin lesion 1.1-2.0 cm,51.69395000000001
11308,Shave skin lesion >2.0 cm,60.08582500000001
11310,Shave skin lesion 0.5 cm/<,36.588575000000006
11311,Shave skin lesion 0.6-1.0 cm,51.022600000000004
11312,Shave skin lesion 1.1-2.0 cm,60.757175000000004
11313,Shave skin lesion >2.0 cm,77.540925
11400,Exc tr-ext b9+marg 0.5 cm<,76.86957500000001
11401,Exc tr-ext b9+marg 0.6-1 cm,94.996025
11402,Exc tr-ext b9+marg 1.1-2 cm,103.052225
11403,Exc tr-ext b9+marg 2.1-3cm,136.28405
11404,Exc tr-ext b9+marg 3.1-4 cm,152.732125
11406,Exc tr-ext b9+marg >4.0 cm,228.93035000000003
11420,Exc h-f-nk-sp b9+marg 0.5/<,76.5339
11421,Exc h-f-nk-sp b9+marg 0.6-1,99.3598
11422,Exc h-f-nk-sp b9+marg 1.1-2,124.87110000000001
11423,Exc h-f-nk-sp b9+marg 2.1-3,144.34025
11424,Exc h-f-nk-sp b9+marg 3.1-4,165.82345000000004
11426,Exc h-f-nk-sp b9+marg >4 cm,246.049775
11440,Exc face-mm b9+marg 0.5 cm/<,98.35277500000001
11441,Exc face-mm b9+marg 0.6-1 cm,120.84300000000002
11442,Exc face-mm b9+marg 1.1-2 cm,132.59162500000002
11443,Exc face-mm b9+marg 2.1-3 cm,160.116975
11444,Exc face-mm b9+marg 3.1-4 cm,201.06932500000002
11446,Exc face-mm b9+marg >4 cm,283.98105000000004
11450,Exc skn hdrdnt ax smpl/ntrm,256.120025
11451,Exc skn hdrdnt ax complex,321.57665000000003
11462,Exc skn hdrdnt ing smpl/ntrm,244.035725
11463,Exc skn hdrdnt ing complex,317.212875
11470,Exc skn h/p/p/u smpl/ntrm,282.302675
11471,Exc skn h/p/p/u complex,333.32527500000003
11600,Exc tr-ext mal+marg 0.5 cm/<,109.09437500000001
11601,Exc tr-ext mal+marg 0.6-1 cm,128.8992
11602,Exc tr-ext mal+marg 1.1-2 cm,137.291075
11603,Exc tr-ext mal+marg 2.1-3 cm,164.145075
11604,Exc tr-ext mal+marg 3.1-4 cm,181.93585000000002
11606,Exc tr-ext mal+marg >4 cm,276.5962
11620,Exc h-f-nk-sp mal+marg 0.5/<,109.765725
11621,Exc s/n/h/f/g mal+mrg 0.6-1,129.906225
11622,Exc s/n/h/f/g mal+mrg 1.1-2,144.675925
11623,Exc s/n/h/f/g mal+mrg 2.1-3,178.5791
11624,Exc s/n/h/f/g mal+mrg 3.1-4,204.09040000000002
11626,Exc s/n/h/f/g mal+mrg >4 cm,255.44867500000004
